  Number 1     Number 2          Min          Max
----------   ----------   ----------   ----------
         0 -    2793737            0 -    2793737
   2162802 -    8327007            0 -    8327007
   2663526 -    7317845            0 -   (within)
   2793738 -    2841656            0 -   (within)
   2841657 -    3867364            0 -   (within)
   3867365 -    5819500            0 -   (within)
   5819501 -    6106336            0 -   (within)
   5926527 -    6123881            0 -   (within)
   6123882 -    6333786            0 -   (within)
   6333787 -    9214022            0 -    9214022
   7208229 -   13983082            0 -   13983082
   9214023 -   16864642            0 -   16864642
  14791161 -   17348573*           0 -   17348573 -> 17348574
  17348575 -   50105777            0 -   50105777
  19217566 -   33973125            0 -   (within)
  20968691 -   38549168            0 -   (within)
  24026223 -   27879741            0 -   (within)
  32718247 -   42062630            0 -   (within)
  39304785 -   47673299            0 -   (within)
  44287139 -   49449042            0 -   (within)
  50105778 -   54260393*           0 -   54260393 -> 54260394 (too high)
  54260395 -   75973933            0 -   75973933
  64489226 -   70116603            0 -   75973933
